Animal,Grizzly Bear,Killer Whale,Beaver,Dalmatian,Persian Cat,Horse,German Shepherd,Blue Whale,Siamese Cat,Skunk,Mole,Tiger,Hippopotamus,Leopard,Moose,Spider Monkey,Humpback Whale,Elephant,Gorilla,Ox,Fox,Sheep,Seal,Chimpanzee,Hamster,Squirrel,Rhinoceros,Rabbit,Bat,Giraffe,Wolf,Chihuahua,Rat,Weasel,Otter,Buffalo,Zebra,Giant Panda,Deer,Bobcat,Pig,Lion,Mouse,Polar Bear,Collie,Walrus,Raccoon,Cow,Dolphin
Water,7.64,79.49,65.62,1.25,1.25,2.22,3.75,76.61,2.22,4.03,0,4.06,46.78,2.5,1.25,0,89.95,1.25,1.25,2.5,0,0,78.92,1.25,0,1.25,13.54,0,1.39,0,0,1.25,0,5.42,78.75,9.38,0,1.25,0,0,3.87,0,0,45.9,0,62.3,2.08,0.55,71.4
Walks,64.85,0,10.94,67.99,65.69,55.58,76.91,0,67.39,64.86,49.03,73.92,48.83,62.77,66.55,37.85,0,66.19,63.43,78.9,62.75,73.69,4.06,59.72,62.24,35.21,52.54,19.48,2.5,64.07,32.95,70.71,70.75,51.87,5,59.53,77.61,71.96,63.33,56.83,52.77,54.06,54.44,73.54,61.23,6.25,57.43,58.21,0
Tusks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.47,0,1.25,0,0,11.25,0,0,0,24.58,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,90.74,0,4.95,0
Tunnels,0,0,8.75,0,0,0,0,0,0,2.5,77.61,0,0,0,0,0,0,0,0,0,0,0,0,0,35.99,8.06,0,16.89,0,0,1.56,0,26.44,20.83,4.51,0,0,0,0,0,0,0,27.47,0,0,0,0,0.19,0
Tree,9.79,0,0,6.25,2.64,0,0,0,10,3.26,10,6.39,0,25.37,0,76.01,0,0,50.29,0,1.25,0,0,81.36,5,70.99,0,0,56.97,9.88,0,9.72,1.25,12.5,0,0,0,49.12,0,24.9,0,2.5,0,0,0,0,33.41,0,0
Toughskin,21.82,57.04,25,7.5,6.25,42.45,18.46,45.17,5,8.12,8.96,16.01,66.12,12.18,28.57,7.81,68.52,77.62,28.08,52.54,5.7,9.55,49.97,20.96,5.56,14.62,76.17,7.95,30,13.57,5.83,0.62,7.36,5,20,42.36,20.8,10,18.22,2.5,51.37,16.25,1.25,22.29,1.25,62.06,3.41,42.45,39.21
Timid,12.5,9.77,31.88,31.67,43.69,35.39,10,44.58,28.82,46.11,29.47,3.75,29.58,0,40.42,23.68,60.72,39.36,12.13,33.65,5,54.38,35.31,29.64,40.69,38.16,13.33,61.21,8.98,45.36,0,36.73,11.81,3.75,33.47,19.88,53.25,65.84,67.49,0,27.85,4.38,50,3.75,43.09,29.43,2.27,47.87,21.06
Tail,9.38,41.67,86.56,53.75,66.8,70.42,72.3,26.42,59.15,83.33,20,66.65,7.27,48.22,29.59,72.26,44.8,51.97,10,58.05,66.65,11.65,41.14,54.26,26.34,84.69,17.05,61.1,15.11,44.8,62.59,48.8,73.69,30.55,43.61,5.39,61.43,9.03,43.85,64.5,40.56,62.22,70.04,10,67.09,20.76,69.78,62.77,41.85
Swims,2.5,91.45,74.06,9.38,6.25,0,0,71.82,2.22,8.33,0,5,40.37,5.28,2.5,0,89.36,0,2.5,1.25,3.12,0,81.51,3.75,0,3.75,0,1.39,0,0,0,5,0,14.93,85,0,0,0,0,0,2.5,0.25,0,39.17,0,76.85,0.62,0.46,60.36
Stripes,0,0,0,0,6.25,0,1.56,2.5,0,85.76,0,89.3,0,1.25,0,3.12,3.95,0,0,0,0,0,0,0,7.5,12.5,0,0,0,0,0,1.56,0,2.5,0,0,98.86,0,0,2.5,0,0,0,0,0,0,53.15,4.09,0
Strength,78.48,63.35,32.81,34.93,12.58,69.13,62.33,55.26,8.96,3.12,1.25,84.04,49.76,55.18,68.53,24.17,63.27,67.45,73.42,88.78,26.72,10,23.18,41.19,3.89,14.17,55.38,4.79,7.5,31.43,61.63,4.3,18.19,8.89,11.39,50.81,29.85,46.11,23.88,32.99,27.44,77.19,0,77.08,19.55,49.94,10.62,47.02,41.88
Strainteeth,1.25,30.22,29.69,0,0,0,5,69.32,9.44,5,1.88,0,28.12,8.75,0,3.12,42.37,0,0,0,7.5,0,8.3,0,5,0,3.12,0,0,6.67,0,4.38,0,0,17.5,0,6.25,5,0,0,0,3.75,5.62,10,6.25,24.74,1.04,0.19,11.96
Stalker,26.05,15,1.25,8.75,9.03,0,21.02,0,51.61,0,0,87.22,0,79.76,11.25,2.08,0,0,11.25,0,61.2,0,6.25,8.75,0,0,0,0,8.12,0,73.45,1.38,3.4,19.84,3.75,0,0,6.25,0,66.98,0,77.34,0.62,30.38,3.75,10,8.98,0,6.24
Spots,0,32.69,7.5,100,6.25,15.8,11.59,23.75,6.94,1.25,0,6.08,0,74.97,12.5,0,6.88,1.25,0,15.62,0,0,23.12,0,8.5,2.5,1.39,9.26,1.25,77.08,0,11.79,1.25,8.75,0,0,0,24.17,48.08,33.55,21.23,0,6.25,0,9.09,13.12,22.87,31.35,0.8
Speed,46.97,57.37,25,61.74,26.98,81.68,57.02,21.42,43.24,30.21,20.9,76.21,2.5,85.26,22.74,58.12,26.7,3.75,37.06,5.28,67.51,4.66,29.32,56.94,39.33,54.93,10.21,63.26,80.96,31.86,63.13,27.87,57.14,61.5,40.97,24.79,70.85,5,73.73,73.97,16.24,65.47,55.15,38.68,49.05,24.76,38.21,10.89,59.09
Solitary,58.64,15.77,31.88,29.38,36.6,16.78,35.11,25.99,47.54,47.85,55.31,39.36,25.14,33.84,31.94,9.38,19.06,6.25,7.5,32.39,48.18,0,6.25,8.75,35,22.58,25.17,18.89,19.97,9.57,41.37,44.91,40.87,26.26,30.56,8.8,1.25,55.38,6.51,59.47,4.19,11.88,6.88,48.75,45.99,11.19,35.95,5.04,3.96
Smelly,11.25,7.5,3.12,0,7.86,33.07,23.41,13.75,13.61,100,10.42,28.52,17.5,11.02,27.06,16.98,15,49.67,42.6,49.28,11.66,23.75,6.25,49.83,26.23,1.95,22.52,12.71,30.33,22.09,4.17,29.4,48.31,22.39,12.64,20.97,9.55,20.23,6.53,9.59,51.17,30,24.06,22.5,17.54,28.12,19.97,34.8,7.57
Smart,24,52.03,41.88,53.26,38.62,37.28,57.53,39.06,52.9,12.5,16.67,36.59,8.75,37.16,19.11,55,60.31,22.81,56.19,14.68,79.26,10.62,44.49,84.36,18.37,18.48,10.59,11.47,32.3,16.95,61.48,29.84,24.99,36.56,27.22,10,22.63,37.3,40.05,42.89,23.04,25.7,12.42,16.25,42.17,23.96,48.68,13.97,60.38
Skimmer,1.12,20.36,6.25,0,0,0,0,45.73,0,6.94,0,0,0,0,0,0,50.11,0,0,0,0,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.19
Size,86.69,90.85,6.88,39.31,6.25,71.5,54.88,86.46,2.22,0,1.25,78.36,79.48,54.64,87.73,20,94.6,85.48,70.48,73.47,5.23,16.53,30.91,28.29,0,2.64,82,2.27,1.25,78.23,40.21,0,1.88,1.25,11.25,84.91,48.82,75.01,39.88,19.93,48.17,71.88,0,85.49,26.31,76.46,7.5,68.31,47.82
Scavenger,5.26,6.61,7.5,0,5.08,0,11.25,0,18.37,5.56,11.49,2.75,2.5,6.25,2.5,2.5,10.34,2.5,12.63,2.5,19.58,1.25,0,15.36,9.61,0,0,0,28.22,0,33.4,15.2,60.85,11.43,0,0,0,3.75,4.61,13.54,9.11,16.25,22.97,21.25,4.54,11.88,34.74,0.72,4.02
Quadrupedal,36.77,0,24.38,77.92,66.15,70.35,82.93,0,80.44,70.83,51.05,77.12,60.22,78,82.61,32.4,0,70.61,37.17,77.18,66.89,80.14,11.25,44.53,72.49,42.67,58.54,49.13,6.48,77.12,80.84,81.01,73.62,57.65,35.56,61.82,89,55.2,68.71,74.25,68,65.55,45.35,66.04,70.14,11.88,66.87,62.42,4.8
Plankton,0,32.86,3.12,0,0,0,0,75.25,0,0,0,0,6.25,0,0,0,82.3,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,11.8
Plains,0,0,0,0,10.55,52.54,21.33,0,7.78,11.6,27.58,25.42,5.21,32.91,49.44,1.25,0,14.11,5,40.95,21.17,42.81,0,15.58,8.75,10,18.54,23.26,5.91,50.69,29.04,5.08,29.65,16.44,0,68.84,58.91,15.28,36.94,27.05,13.12,20,22.58,0,18.36,0,7.27,30.36,0
Paws,69.6,0,39.38,69.03,68.81,0,59.8,0,64.22,59.79,43.17,60.83,0,69.9,0,27.5,0,5.08,1.25,5,42.58,0,5,9.31,44.47,43.19,0,56.45,7.5,6.65,59.95,73.54,49.02,44.21,24.17,0,0,70.55,0,62.75,7.5,67.66,35.15,66.04,76.17,6.88,61.36,3.8,0
