Food Item,Apple,Apple Pie,Baklava,BBQ Ribs,Buttered Toast,Carapulcra,Cheese Sandwich,Cheeseburger ,Chicken Fry Biryani,Chicken Noodle Soup,Chicken Salad,Chicken Tikka,Chocolate Chip Cookies,Cotton Candy,Croissant,Daal (Lentil Soup),General Tsao's Tofu,Grilled Cheeseburger,Grilled New York Strip Steak,Gulab Jamun,Hard Shell Beef Taco ,Ice Cream,Karhai,Kimchi,Macaroni and Cheese,Mashed Potatoes,Mint Chocolate Chip Ice Cream,New York Style Cheese Cake,Paczki,Pagach,Pan-Seared Salmon,Pierogi,Polar Ice Flavored Chewing Gum,Roti/Flatbread,Saltine Crackers,Sea Salt and Chocolate Truffle,Sour Cream and Onion Potato Chips/Crisps,Spaghetti,Spicy Buffalo Wings,Tuna Salad Sandwich
Salty,0,3,0,7,8,7,0,7,5,6,1,6,2,0,3,7,10,8,7,0,7,0.5,8,6,8,6,0,2,1,7,5,5,0,5,6,7,9,6,8,6
Sweet,7,7,9,6,2,1,0,2,0,0,1,0,8,10,3,1,2,2,0,10,0,6,0,1,0,0,8,5,8,1,1,0.5,6,0,0,8,1,0,2,2
Sour,2,2,0,3,0,0,0,0,0,0,0,5,0,2,0,5,8,2,0,0,7,0,7,8,0,0,0,3,3,0,0,0,0,0,0,0,4,2,1,2
Bitter,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Umami,0,4,0,9,7,9,7,10,10,5,8,9,0,0,6,3,8,8,10,0,9,4,9,6,9,7,7,9,2,7,5,8.5,0,3,0,6,7,10,8,6
Firm,10,3,4,5,7,2,3,5,0,1,5,8,2,0,0,1,6,7,7,5,2,2,6,3,2,0,2,1,4,6,4,2,0,6,0,3,0,4,6,3
Crunchy,10,1,8,0,9,0,1,2,0,0,4,0,0,0,0,0,1,2,0,0,10,0,1,6,0,0,4,0,0,0,3,0,0,0,10,0,10,1,0,4
Crispy,0,0,8,0,3,0,2,1,5,0,0,0,2,0,3,0,2,2,0,0,10,0,1,1,0,0,0,0,0,0,7,0,0,1,10,0,10,1,0,0
Flaky,0,3,10,0,3,0,0,0,0,0,0,6,3,0,10,0,1,0,0,0,0,0,3,0,0,0,0,0,2,1,7,0,0,3,6,0,0,1,0,0
Chewy,3,2,7,4,2,7,3,7,2,0,5,5,4,0,1,0,6,3,6,4,3,0,5,5,2,0,0,1,1,3,0,2.5,10,3,0,0,0,7,3,4
Melty,0,4,0,0,2,2,9,4,0,0,0,0,7,10,5,10,0,0,0,4,3,10,6,0,0,4,10,2,1,0,0,2.5,2,0,0,8,0,6,0,2
Sticky,0,6,10,2,0,0,0,0,0,0,0,1,6,4,0,7,6,0,0,5,0,3,5,0,5,0,0,2,1,1,0,1.5,10,0,0,2,0,6,2,2
Watery,2,4,0,1,1,4,0,0,1,10,0,0,1,0,5,10,0,0,0,1,2,1,4,8,2,2,8,1,0,0,0,1,7,0,0,0,0,1,0,2
Viscous or Thick,0,8,0,0,0,7,0,0,1,0,1,1,0,0,0,2,5,0,0,10,0,9.5,6,1,7,10,10,4,9,1,0,6.5,4,0,0,10,0,3,0,8
Dry,3,0,0,7,9,0,5,0,2,0,5,8,5,7,4,0,2,7,7,1,0,0,3,0,6,0,0,0,3,3,2,0.5,0,4,10,0,10,5,4,2
Smooth/Rough,4,3,7,5,8,4,6,6,1,3,7,4,5,5,6,0,3,7,7,0,10,1.5,5,4,2,2,1,2,6,6,1,2.5,9,3,6,1,8,3,4,6
Gritty,0,0,8,0,6,0,0,7,0,0,0,0,5,2,0,0,2,2,1,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,5,1,5,1,0,0
Stringy or Fibrous,2,0,0,0,0,1,0,6,0,0,5,5,0,1,0,0,1,0,0,0,0,0.5,8,8,0,0,0,0,0,0,0,0,10,0,0,0,0,7,0,0
Spicy,0,0,0,3,0,6,0,0,9,0,3,8,0,0,0,6,7,0,0,0,8,0,9,5,0,0,0,1,0,0,1,0.5,0,0,0,0,0,8,7,0
Cooling,0,0,0,0,0,1,1,0,1,0,3,0,0,0,0,0,0,0,0,5,5,8.5,1,0,0,0,8,1,0,0,0,0,10,0,0,0,0,0,0,0
Hot/Cold (in temperature),5,5,5,8,6,8,7,8,9,10,2,7,7,5,5,8,8,7,8,5,8,0.5,7,3,7,7,0,4,5,7,7,7,5,7,6,5,5,9,7,2
