Food Item,Salty,Sweet,Sour,Bitter,Umami,Firm,Crunchy,Crispy,Flaky,Chewy,Melty,Sticky,Watery,Viscous or Thick,Dry,Smooth/Rough,Gritty,Stringy or Fibrous,Spicy,Cooling,Hot/Cold (in temperature)
Apple,0,7,2,0,0,10,10,0,0,3,0,0,2,0,3,4,0,2,0,0,5
Apple Pie,3,7,2,0,4,3,1,0,3,2,4,6,4,8,0,3,0,0,0,0,5
Baklava,0,9,0,0,0,4,8,8,10,7,0,10,0,0,0,7,8,0,0,0,5
BBQ Ribs,7,6,3,0,9,5,0,0,0,4,0,2,1,0,7,5,0,0,3,0,8
Buttered Toast,8,2,0,2,7,7,9,3,3,2,2,0,1,0,9,8,6,0,0,0,6
Carapulcra,7,1,0,0,9,2,0,0,0,7,2,0,4,7,0,4,0,1,6,1,8
Cheese Sandwich,0,0,0,0,7,3,1,2,0,3,9,0,0,0,5,6,0,0,0,1,7
Cheeseburger ,7,2,0,0,10,5,2,1,0,7,4,0,0,0,0,6,7,6,0,0,8
Chicken Fry Biryani,5,0,0,0,10,0,0,5,0,2,0,0,1,1,2,1,0,0,9,1,9
Chicken Noodle Soup,6,0,0,0,5,1,0,0,0,0,0,0,10,0,0,3,0,0,0,0,10
Chicken Salad,1,1,0,0,8,5,4,0,0,5,0,0,0,1,5,7,0,5,3,3,2
Chicken Tikka,6,0,5,0,9,8,0,0,6,5,0,1,0,1,8,4,0,5,8,0,7
Chocolate Chip Cookies,2,8,0,1,0,2,0,2,3,4,7,6,1,0,5,5,5,0,0,0,7
Cotton Candy,0,10,2,0,0,0,0,0,0,0,10,4,0,0,7,5,2,1,0,0,5
Croissant,3,3,0,0,6,0,0,3,10,1,5,0,5,0,4,6,0,0,0,0,5
Daal (Lentil Soup),7,1,5,0,3,1,0,0,0,0,10,7,10,2,0,0,0,0,6,0,8
General Tsao's Tofu,10,2,8,0,8,6,1,2,1,6,0,6,0,5,2,3,2,1,7,0,8
Grilled Cheeseburger,8,2,2,0,8,7,2,2,0,3,0,0,0,0,7,7,2,0,0,0,7
Grilled New York Strip Steak,7,0,0,0,10,7,0,0,0,6,0,0,0,0,7,7,1,0,0,0,8
Gulab Jamun,0,10,0,0,0,5,0,0,0,4,4,5,1,10,1,0,0,0,0,5,5
Hard Shell Beef Taco ,7,0,7,4,9,2,10,10,0,3,3,0,2,0,0,10,0,0,8,5,8
Ice Cream,0.5,6,0,0,4,2,0,0,0,0,10,3,1,9.5,0,1.5,0,0.5,0,8.5,0.5
Karhai,8,0,7,0,9,6,1,1,3,5,6,5,4,6,3,5,3,8,9,1,7
Kimchi,6,1,8,2,6,3,6,1,0,5,0,0,8,1,0,4,2,8,5,0,3
Macaroni and Cheese,8,0,0,0,9,2,0,0,0,2,0,5,2,7,6,2,0,0,0,0,7
Mashed Potatoes,6,0,0,0,7,0,0,0,0,0,4,0,2,10,0,2,0,0,0,0,7
Mint Chocolate Chip Ice Cream,0,8,0,0,7,2,4,0,0,0,10,0,8,10,0,1,0,0,0,8,0
New York Style Cheese Cake,2,5,3,0,9,1,0,0,0,1,2,2,1,4,0,2,0,0,1,1,4
Paczki,1,8,3,0,2,4,0,0,2,1,1,1,0,9,3,6,0,0,0,0,5
Pagach,7,1,0,0,7,6,0,0,1,3,0,1,0,1,3,6,0,0,0,0,7
Pan-Seared Salmon,5,1,0,0,5,4,3,7,7,0,0,0,0,0,2,1,0,0,1,0,7
Pierogi,5,0.5,0,0,8.5,2,0,0,0,2.5,2.5,1.5,1,6.5,0.5,2.5,0,0,0.5,0,7
Polar Ice Flavored Chewing Gum,0,6,0,2,0,0,0,0,0,10,2,10,7,4,0,9,0,10,0,10,5
Roti/Flatbread,5,0,0,0,3,6,0,1,3,3,0,0,0,0,4,3,0,0,0,0,7
Saltine Crackers,6,0,0,0,0,0,10,10,6,0,0,0,0,0,10,6,5,0,0,0,6
Sea Salt and Chocolate Truffle,7,8,0,0,6,3,0,0,0,0,8,2,0,10,0,1,1,0,0,0,5
Sour Cream and Onion Potato Chips/Crisps,9,1,4,0,7,0,10,10,0,0,0,0,0,0,10,8,5,0,0,0,5
Spaghetti,6,0,2,0,10,4,1,1,1,7,6,6,1,3,5,3,1,7,8,0,9
Spicy Buffalo Wings,8,2,1,0,8,6,0,0,0,3,0,2,0,0,4,4,0,0,7,0,7
Tuna Salad Sandwich,6,2,2,0,6,3,4,0,0,4,2,2,2,8,2,6,0,0,0,0,2
