file_name,consider,euronews,gp,lack,focus,month,baby,manager,nicky,controversial,welfare,battle,2.8,chair,hate,children,replacements,tweet,finally,program,wed,include,resources,pay,risk,far,rise,choice,worst,additional,decide,fall,affect,trouble,austerity,condition,school,level,did,die,companies,democrat,disease,leader,leave,announced,small,overstretched,cap,force
BERNIE SANDERS' Role Model For Successful Socialism Fails Finland's Government COLLAPSES Due To Rising Costs of Universal Health Care,0,0,0,0,0,0.153846154,0,0,0,0,1,0,0,0,0,0,0,0.083333333,0,1,0.333333333,0,0,0,0,0.1,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0.25
Donald Trump's attack on NHS slapped down by Theresa May and health chief Simon Stevens,0,0,0.2,0,0,0,0,0,0,0,0,0,0.25,0,0.333333333,0,0.333333333,0.166666667,0,0,0.333333333,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111,0,0,0.0625,0,0.25,0.125,0.166666667,0,0,0,0
British health secretary fires back at Trump over universal health care claims,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0.285714286,0,0.133333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0.083333333,0,0,0,0,0,0
NHS hospitals facing serious shortages of vital equipment,0,0,0,0.142857143,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.2,0,0,0.166666667,0,0,0,0,0.142857143,0,0,0,0,0,0.083333333,0,0,0,0,0,0.125
Just In President Trump Sends Help To Save A 10-Month-Old Baby's Life,0,0,0,0,0,0.153846154,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0.090909091,0,0.25,0,0,0,0,0,0,0,0
Nationalisation vs privatisation the public view,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,4,0.0625,0,0,0,0,0.333333333,0,0.2,0.25
Nigel Farage says Brexit and Trump win are 'beginning of global revolution',0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111,0,0.333333333,0,0,0.416666667,0,0,0,0,0,0
When is the NHS 'Fix It Now' protest Times speakers and how to get involved in the Downing Street rally,0,0,0,0.142857143,0,0,0,0,0.333333333,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090909091,0,0,0,0,0,0,0,0,0,0
NHS deficit and staff shortage data 'held up' by government,0,0,0,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.285714286,0,0,0.333333333,0.1,0,0,0,0,0,0.25,0,0,0,0,0,0.142857143,0.111111111,0,0,0,0,0,0,0,0,0,0,0
NHS protest thousands march to demand more cash for NHS,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0.142857143,0,0,0,0,0,0,0,0.133333333,0,0,0,0.25,0.166666667,0.2,0,0,0.166666667,0,0.076923077,0,0,0,0,0.181818182,0,0,0,0,0.125,0,0,0,0,0
